,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,morondava,-20.2833,44.2833,80.33,72,8,9.57,MG,1619366114
351,oranjemund,-28.55,16.4333,63.91,81,100,7.65,NA,1619366114
352,longuenesse,50.734,2.2352,51.01,62,6,14.0,FR,1619366114
353,arraial do cabo,-22.8362,-46.646,82.99,47,0,4.61,BR,1619366115
354,broome,42.2506,-75.833,52.0,81,90,4.61,US,1619366115
355,miles city,35.1855,-120.7032,53.01,76,90,2.37,US,1619366115
356,tukrah,32.5341,20.5791,62.91,78,1,12.37,LY,1619366116
357,gorontalo,0.5412,123.0595,74.93,92,98,2.3,ID,1619366116
358,algiers,36.7525,3.042,82.4,32,0,12.66,DZ,1619365818
359,havre,49.5833,0.3333,53.6,66,0,19.57,FR,1619366116
360,kargasok,59.0556,80.8572,34.86,98,100,6.02,RU,1619366116
361,bocas del toro,21.0716,-76.2737,86.0,58,40,5.75,CU,1619366117
362,garden city,53.688,12.0492,46.99,36,20,14.97,DE,1619366117
363,preobrazheniye,42.9019,133.9064,35.96,59,0,2.8,RU,1619366117
364,ranong,9.9658,98.6348,79.59,84,64,5.46,TH,1619366118
365,chama,47.1821,8.4636,66.2,32,0,8.05,CH,1619366118
366,pedernales,18.0384,-71.744,84.76,59,84,5.53,DO,1619366118
